"bom","requirement_doc","block","item","manufacturer","part_number","description","qty","qty_basis","selection_status","notes","official_url"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","Always-on Input","Hot-swap and protection controller","Infineon","XDP711-001","Hot-swap, input protection, configurable UVLO/OVP, inrush control, and optional PMBus telemetry controller for the PDU always-on input branch","1","per Mini PC / Wi-Fi board","needs review","Use with external Linear FETs; revalidate voltage rating and settings after the PDU 40V battery x2 combining method and always-on input range are fixed","https://www.infineon.com/part/XDP711-001"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","Always-on Input","Linear FET for hot-swap path","Infineon","ISC035N10NM5LF2","100V Linear FET for hot-swap, battery protection, and eFuse paths","2 to 4","per Mini PC / Wi-Fi board","tentative","Back-to-back structure and parallel count depend on input fuse rating, SOA, input voltage range, and inrush current","https://www.infineon.com/part/ISC035N10NM5LF2"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","Always-on Input","Input fuse","TBD","TBD_INPUT_FUSE","Physical fuse coordinated with the PDU always-on input branch","1","per Mini PC / Wi-Fi board","TBD","Coordinate with PDU branch protection, XDP711 current limit, wiring, and connector rating",""
"mini_pc_poe","docs/mini_pc_poe/requirements.md","Always-on Input","Input connector","TBD","TBD_ALWAYS_ON_INPUT_CONNECTOR","Mechanical and electrical interface from the PDU always-on protected auxiliary bus","1","per Mini PC / Wi-Fi board","TBD","Choose a locking connector with vibration retention and current rating matched to the always-on branch",""
"mini_pc_poe","docs/mini_pc_poe/requirements.md","19V DC/DC","DC/DC controller","Texas Instruments","LM51772-Q1","55V four-switch buck-boost controller with optional I2C control for 19V/5A design output","1","per Mini PC / Wi-Fi board","needs review","Candidate only if the PDU always-on input range fits the controller rating; a high-voltage buck may be better for 40V-class input","https://www.ti.com/product/LM51772-Q1"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","19V DC/DC","Power MOSFET","Infineon","ISC022N10NM6","100V OptiMOS power MOSFET for 19V DC/DC power stage","4","per Mini PC / Wi-Fi board","needs review","Thermal validation required at 95W output; topology and parallel devices depend on always-on input range and switching frequency","https://www.infineon.com/part/ISC022N10NM6"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","19V DC/DC","Power inductor","TBD","TBD_19V_POWER_INDUCTOR","Inductor for 19V/5A DC/DC stage","1","per Mini PC / Wi-Fi board","TBD","Current rating, saturation current, DCR, size, and temperature rise depend on topology, switching frequency, and ripple target",""
"mini_pc_poe","docs/mini_pc_poe/requirements.md","19V Output","Smart high-side switch","Infineon","BTT6020-1ERA","20mOhm 12V/24V smart high-side switch with protection and diagnosis for Mini PC 19V output","1","per Mini PC / Wi-Fi board","tentative","5A continuous is thermally meaningful; verify copper area and derating","https://www.infineon.com/part/BTT6020-1ERA"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","19V Output","Mini PC DC plug","Kycon","KLDX-PA-0202-B","Cable-mount 5.5mm OD / 2.5mm ID DC plug for center-positive Mini PC 19V output","1","per Mini PC / Wi-Fi board","selected candidate","Use center-positive wiring; board-side cable strain relief or a separate locking board connector is still a mechanical design item","https://www.kycon.com/Catalog_PDF/KLDX-P.pdf"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","24V Wi-Fi DC/DC","DC/DC controller","Texas Instruments","LM51561-Q1","Wide VIN non-synchronous boost/SEPIC/flyback controller with spread spectrum and hiccup for 24V/0.5A candidate passive PoE output","1","per Mini PC / Wi-Fi board","needs review","Old boost-only assumption is invalid for 40V-class input; reselect topology after Wi-Fi module input and PDU branch voltage are fixed","https://www.ti.com/product/LM51561-Q1"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","24V Wi-Fi DC/DC","Power MOSFET","Infineon","ISC022N10NM6","100V OptiMOS power MOSFET for candidate 24V Wi-Fi / passive PoE DC/DC stage","1","per Mini PC / Wi-Fi board","needs review","Over-specified for 12W output but useful for BOM commonality; topology and device count depend on always-on input range","https://www.infineon.com/part/ISC022N10NM6"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","24V Wi-Fi DC/DC","Power diode","TBD","TBD_POE_POWER_DIODE","Diode if required by the selected 24V Wi-Fi / passive PoE DC/DC topology","1","per Mini PC / Wi-Fi board","TBD","Select after topology is fixed; may be unnecessary for synchronous buck or buck-boost",""
"mini_pc_poe","docs/mini_pc_poe/requirements.md","24V Wi-Fi Output","Smart high-side switch","Infineon","BTT6030-1ERA","31mOhm 12V/24V smart high-side switch with protection and diagnosis for passive PoE 24V output","1","per Mini PC / Wi-Fi board","tentative","Use together with a smaller fuse/PTC because the device current limit is higher than 0.5A PoE load current","https://www.infineon.com/part/BTT6030-1ERA"
"mini_pc_poe","docs/mini_pc_poe/requirements.md","24V Wi-Fi Output","PoE output fuse or PTC","TBD","TBD_POE_PTC_0P75A","Fuse or resettable PTC for passive PoE output cable protection","1","per Mini PC / Wi-Fi board","TBD","Start around 0.75A to 1A class and validate with cable length, load startup, and short-circuit tests",""
